,Course Name,Reviewer Name,Date of Review,Review Content,Rating Star
114,Handling Imbalanced Data Classification Problems by Coursera Project Network,Aafreen,"Oct 15, 2020","I especially liked how the instructor made us understand what we were doing before we started and how after every task, he didn't forget to assign some extra exploratory work you could do in that task. These are not something most of the instructors do and I am speaking from experience.  The project was well structured and I couldn't have asked for more",5
115,Handling Imbalanced Data Classification Problems by Coursera Project Network,Marwa A E,"Aug 3, 2020","Introduced to me the concept of SMOTE and how to use it for imbalanced datasets. Seeing, the effect of it on the datasets manipulated predicted results also showed how this technique makes classification problems more accurate.",5
116,Handling Imbalanced Data Classification Problems by Coursera Project Network,Hayan M,"Oct 17, 2021","I highly recommend this course due to the importance of its content, and the clear guidance. the the methods presented and explained in this course helps solving the real world problem much effectivly .",5
117,Handling Imbalanced Data Classification Problems by Coursera Project Network,Abekah C K,"Dec 5, 2020","This is an amazing project with nice explanations! If you are into credit scoring and things of that sort, I highly recommend it. I just wished he elaborated more how to detect the threshold values",5
118,Handling Imbalanced Data Classification Problems by Coursera Project Network,Vaibhav T,"Aug 17, 2020",Really amazing course. The basics of handling imbalance data are covered really well. Good explanation of how to work with ROC curve and get the right threshold to increase the target metrics.,5
119,Handling Imbalanced Data Classification Problems by Coursera Project Network,Luis Á T M,"Sep 25, 2020","I really enjoyed it! Complete pipeline, really easy to understand. And there is a reference to the original dataset, that's really important",5
120,Handling Imbalanced Data Classification Problems by Coursera Project Network,Neha G,"Aug 25, 2020",Amazing course!! Thanks to the teacher for making contents easy to understand and incur the knowledge.... ,5
121,Handling Imbalanced Data Classification Problems by Coursera Project Network,Solomon T,"Aug 4, 2021","Practical content, very well explained.",5
122,Handling Imbalanced Data Classification Problems by Coursera Project Network,Divyanshu M,"Aug 26, 2020",Great learning experience,5
123,Handling Imbalanced Data Classification Problems by Coursera Project Network,Evgeni N,"Mar 23, 2022",Super useful!,5
124,Handling Imbalanced Data Classification Problems by Coursera Project Network,Jesus M Z F,"Aug 2, 2020",Great course,5
125,Handling Imbalanced Data Classification Problems by Coursera Project Network,Matta A A S,"Jan 25, 2021",good,5
